,start date,end date,discover date
CAY,1952/1/1,2016/7/1,1990/1/1
NOS,1958/2/1,2014/12/1,2008/1/1
BM,1990/1/31,2017/9/30,1990/1/31
PE,1871/1/1,2017/9/29,1990/1/1
CAPE,1900/1/1,2017/9/29,2001/1/1
DP,1900/1/31,2017/9/29,1990/1/1
PCAprice,1990/1/31,2017/6/30,1990/1/31
CPI,1947/1/1,2017/8/1,1990/1/1
SPX,1980/10/1,2017/9/29,1990/1/1
BY,1962/1/2,2017/9/28,2009/1/1
DEF,1986/1/2,2017/9/29,1990/1/1
TERM,1982/1/4,2017/9/28,1990/1/1
VRP,1990/6/8,2017/9/29,1990/6/8
IC,2007/1/3,2017/9/29,2007/1/3
BDI,1985/1/4,2017/9/29,2012/1/1
PCR,1980/10/1,2017/9/29,2015/1/1
MA,1981/7/17,2017/9/29,1990/1/1
PCAtech,1990/1/31,2017/9/29,2010/1/1
OIL,1983/7/1,2017/9/29,2005/1/1
SI,2013/5/10,2017/9/29,2013/5/10
SIM,1990/1/2,2017/9/29,1990/1/2
